	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_hits	vogdb_id	vogdb_categories	vogdb_hit	heme_regulatory_motif_count	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	virsorter_category	auxiliary_score	is_transposon	amg_flags
virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_118529_123499_18__full-cat_1_5	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_118529_123499_18__full-cat_1	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_118529_123499_18__full-cat_1	5	4499	4969	-1	C	K06907	ase:ACPL_2222  Tail sheath protein Gp18; K06907	False	0.32	77.0	4.833e-14	YP_008433535.1	YP_008433535.1 phage tail sheath protein [Pseudomonas phage PaBG]	False	0.376	98.0	3.788e-23	Phage tail sheath C-terminal domain [PF17482.2]					0								0	5	False	F
virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2_1	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	1	2	124	1	E																		0								2	5	False	F
virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2_2	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	2	336	605	1	E																		0								2	4	False	F
virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2_3	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	3	613	1044	1	E																		0								2	4	False	F
virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2_4	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	4	1044	1571	1	E																		0								2	4	False	F
virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2_5	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	5	1546	2385	1	D													ABC transporter [PF00005.27]					0								2	4	False	F
virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2_6	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	6	2394	2648	1	E																		0								2	4	False	F
virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2_7	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	7	2645	3046	1	C		slt:Slit_0208  hypothetical protein	False	0.542	126.0	1.628e-31	YP_008130183.1	YP_008130183.1 hypothetical protein RHXG_00036 [Rhizobium phage RR1-A]	False	0.446	115.0	1.966e-29	ASCH domain [PF04266.14]		REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0								1	4	False	F
virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2_8	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	8	3022	3780	1	E																		0								2	3	False	F
virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2_9	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	9	3767	4297	1	E																		0								2	3	False	F
virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2_10	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	10	4290	4607	1	E																		0								2	3	False	F
virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2_11	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	11	4594	4917	1	E																		0								2	3	False	F
virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2_12	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	12	5006	5281	1	D							YP_009021784.1	YP_009021784.1 putative NrdA.1-like protein [Pectobacterium phage PM1]	False	0.644	74.0	8.363e-16	Domain of unknown function (DUF4326) [PF14216.6]					0								1	3	False	F
virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2_13	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	13	5241	5456	1	E							NP_891660.1	NP_891660.1 hypothetical protein RB49p089 [Escherichia phage RB49]	False	0.558	74.0	2.416e-16			REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0								1	3	False	F
virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2_14	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	14	5449	5694	1	D													RelB antitoxin [PF04221.12]					0								2	3	False	F
virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2_15	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	virus__NC_048077_1__Dickeya_phage_vB_DsoM_JA11__complete_genome_30268_36369_6__full-cat_2	15	5732	6100	1	C	K00951	lbf:LBF_2258  spoT; GTP pyrophosphokinase; K00951 GTP pyrophosphokinase [EC:2.7.6.5]	False	0.436	87.0	2.782e-18	YP_006906731.1	YP_006906731.1 putative guanosine polyphosphate pyrophospho hydrolase/synthetase [Salmonella phage SSU5]	False	0.404	81.0	1.428e-17	HD domain [PF13328.6]		sp|O87331|RELA_CORGL	Xh	sp|O87331|RELA_CORGL GTP pyrophosphokinase; Xh	0								1	5	False	F
virus__NC_048105_1__Salmonella_phage_BSP161__complete_genome_13840_17316_2__full-cat_1_1	virus__NC_048105_1__Salmonella_phage_BSP161__complete_genome_13840_17316_2__full-cat_1	virus__NC_048105_1__Salmonella_phage_BSP161__complete_genome_13840_17316_2__full-cat_1	1	2	2155	-1	A		ppu:PP_2284  tail tubular protein B	True	0.351	410.0	5.451e-120	YP_002003488.1	YP_002003488.1 gp12 [Enterobacteria phage BA14]	True	0.974	1474.0	0.0			sp|P03747|TUBE2_BPT7	Xr;Xs;Xp	sp|P03747|TUBE2_BPT7 Tail tubular protein gp12; XpXrXs	0								0	5	False	VF
virus__NC_048105_1__Salmonella_phage_BSP161__complete_genome_13840_17316_2__full-cat_1_2	virus__NC_048105_1__Salmonella_phage_BSP161__complete_genome_13840_17316_2__full-cat_1	virus__NC_048105_1__Salmonella_phage_BSP161__complete_genome_13840_17316_2__full-cat_1	2	2181	2771	-1	C		ppu:PP_2283  tail tubular protein A	False	0.333	105.0	4.428e-23	YP_002003487.1	YP_002003487.1 gp11 [Enterobacteria phage BA14]	True	0.97	403.0	6.135000000000001e-128	Tail tubular protein [PF17212.3]		sp|P03746|TUBE1_BPT7	Xr;Xs;Xp	sp|P03746|TUBE1_BPT7 Tail tubular protein gp11; XpXrXs	0								0	1	False	VF
virus__NC_048105_1__Salmonella_phage_BSP161__complete_genome_13840_17316_2__full-cat_1_3	virus__NC_048105_1__Salmonella_phage_BSP161__complete_genome_13840_17316_2__full-cat_1	virus__NC_048105_1__Salmonella_phage_BSP161__complete_genome_13840_17316_2__full-cat_1	3	2980	3474	-1	C		ppu:PP_2282  minor capsid protein 10	False	0.273	63.0	3.327e-09	YP_002308413.1	YP_002308413.1 major capsid protein 10A [Kluyvera phage Kvp1]	False	0.956	332.0	6.167e-104	P22 coat protein - gene protein 5 [PF11651.8]					0								0	5	False	F
virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2_1	virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2	virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2	1	3	302	1	E															REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0								1	5	False	F
virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2_2	virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2	virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2	2	283	549	1	E																		0								2	3	False	F
virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2_3	virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2	virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2	3	542	757	1	E																		0								2	3	False	F
virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2_4	virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2	virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2	4	888	1598	1	C	K07313	ana:alr4370  serine/threonine protein phosphatase; K07313 serine/threonine protein phosphatase 1 [EC:3.1.3.16]	False	0.279	92.0	4.087e-18	YP_006989296.1	YP_006989296.1 putative Ser/Thr protein phosphatase [Caulobacter virus Rogue]	False	0.295	93.0	2.8750000000000004e-20	Calcineurin-like phosphoesterase [PF00149.28]					0								1	3	False	F
virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2_5	virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2	virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2	5	1595	1939	1	E																		0								2	3	False	F
virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2_6	virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2	virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2	6	2086	2352	1	E																		0								2	3	False	F
virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2_7	virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2	virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2	7	2349	2630	1	E																		0								2	3	False	F
virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2_8	virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2	virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2	8	2776	3678	1	E																		0								1	4	False	F
virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2_9	virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2	virus__NC_048106_1__Synechococcus_phage_S_CBWM1__complete_genome_30278_34216_4__full-cat_2	9	3850	3936	1	E																		0								2	5	False	F
virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2_1	virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2	virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2	1	2	559	1	E							YP_009320856.1	YP_009320856.1 putative transcription factor [Salmonella phage 100268_sal2]	False	0.898	348.0	2.938000000000001e-109						0								1	5	False	F
virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2_2	virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2	virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2	2	591	2114	1	D							YP_006382421.1	YP_006382421.1 putative replicative DNA helicase [Escherichia phage vB_EcoS_AKFV33]	True	0.929	988.0	0.0	DnaB-like helicase C terminal domain [PF03796.15]		sp|P04530|VG41_BPT4	Xr;Xh	sp|P04530|VG41_BPT4 ATP-dependent helicase 41; XhXr	0								1	3	False	VF
virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2_3	virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2	virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2	3	2111	3001	1	C	K02316	msv:Mesil_2268  DNA primase; K02316 DNA primase [EC:2.7.7.-]	False	0.22	79.0	1.697e-13	YP_009320858.1	YP_009320858.1 DNA primase/helicase [Salmonella phage 100268_sal2]	True	0.976	611.0	3.4500000000000004e-198	CHC2 zinc finger [PF01807.20]; Toprim-like [PF13155.6]; DNA primase catalytic core, N-terminal domain [PF08275.11]		sp|P04520|PRIM_BPT4	Xr;Xh	sp|P04520|PRIM_BPT4 DNA primase; XhXr	0								1	3	False	VF
virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2_4	virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2	virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2	4	3064	5631	1	C	K02335	nwa:Nwat_0587  DNA polymerase I (EC:2.7.7.7); K02335 DNA polymerase I [EC:2.7.7.7]	False	0.262	240.0	6.396e-62	YP_009320859.1	YP_009320859.1 DNA polymerase I [Salmonella phage 100268_sal2]	True	0.973	1753.0	0.0	DNA polymerase family A [PF00476.20]; 3'-5' exonuclease [PF01612.20]		sp|O64235|DPOL_BPMD2	Xr;Xh	sp|O64235|DPOL_BPMD2 DNA polymerase; XhXr	0								1	3	False	VF
virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2_5	virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2	virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2	5	5624	6121	1	E							YP_009146070.1	YP_009146070.1 hypothetical protein CPT_Stitch129 [Salmonella virus Stitch]	False	0.966	338.0	5.688000000000001e-106			REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0								1	3	False	F
virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2_6	virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2	virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2	6	6118	7470	1	C		dsa:Desal_2267  type III restriction protein res subunit	False	0.268	135.0	1.873e-30	YP_009146071.1	YP_009146071.1 helicase [Salmonella virus Stitch]	True	0.974	925.0	7.512e-304	Type III restriction enzyme, res subunit [PF04851.15]; SNF2 family N-terminal domain [PF00176.23]		sp|P20703|UVSW_BPT4	Xh	sp|P20703|UVSW_BPT4 ATP-dependent DNA helicase uvsW; Xh	0								1	3	False	F
virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2_7	virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2	virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2	7	7611	7973	1	E							YP_001837061.1	YP_001837061.1 hypothetical protein AGC_0138 [Escherichia virus EPS7]	False	0.972	248.0	8.693e-76			REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0								1	3	False	F
virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2_8	virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2	virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2	8	7966	8739	1	D							YP_009146073.1	YP_009146073.1 hypothetical protein CPT_Stitch132 [Salmonella virus Stitch]	True	0.935	506.0	1.97e-162	gp32 DNA binding protein like [PF08804.10]		sp|P09035|VHED_BPT2	Xr	sp|P09035|VHED_BPT2 Single-stranded DNA-binding protein (Fragment); Xr	0								1	3	False	VF
virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2_9	virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2	virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2	9	8779	9756	1	E							YP_001837063.1	YP_001837063.1 putative recombination endonuclease subunit D12 [Escherichia virus EPS7]	True	0.993	684.0	8.786e-223						0								1	3	False	F
virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2_10	virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2	virus__NC_048110_1__Salmonella_phage_Seafire__complete_genome_71078_81857_8__full-cat_2	10	9737	10777	1	C	K03546	sul:SYO3AOP1_0961  SMC domain-containing protein; K03546 exonuclease SbcC	False	0.198	64.0	3.399e-08	YP_009194764.1	YP_009194764.1 nuclease [Salmonella phage Shivani]	True	0.931	678.0	1.938e-220	AAA domain [PF13476.6]		sp|P04522|EXO2_BPT4	Xh;Xp	sp|P04522|EXO2_BPT4 Exonuclease subunit 2; XhXp	0								1	5	False	F
virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2_1	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	1	2	988	1	C	K02335	dca:Desca_1026  DNA polymerase I; K02335 DNA polymerase I [EC:2.7.7.7]	False	0.294	94.0	4.813e-18	YP_164694.1	YP_164694.1 DNA polymerase I [Lactobacillus virus LP65]	False	0.471	280.0	4.825e-83	DNA polymerase family A [PF00476.20]					0								1	5	False	F
virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2_2	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	2	1111	1947	1	C		spm:spyM18_1243  hypothetical protein	False	0.308	60.0	2.407e-07	YP_009055739.1	YP_009055739.1 hypothetical protein [Listeria phage LMTA-148]	False	0.286	88.0	4.067e-18						0								1	3	False	F
virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2_3	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	3	2165	2887	1	C		amo:Anamo_1444  DNA polymerase I family protein (EC:2.7.7.7)	False	0.367	91.0	6.166e-18	YP_164694.1	YP_164694.1 DNA polymerase I [Lactobacillus virus LP65]	False	0.437	184.0	2.566e-51	DNA polymerase family A [PF00476.20]					0								1	3	False	F
virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2_4	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	4	2877	3047	1	E																		0								2	3	False	F
virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2_5	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	5	3112	3522	1	E																		0								2	3	False	F
virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2_6	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	6	3535	4026	1	E																		0								2	3	False	F
virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2_7	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	7	4001	4615	1	E																		0								2	3	False	F
virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2_8	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	8	4631	5122	1	E							YP_009222333.1	YP_009222333.1 hypothetical protein LfeInf_095 [Lactobacillus phage LfeInf]	False	0.434	111.0	1.557e-27			REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0								1	3	False	F
virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2_9	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	9	5193	6425	1	E							YP_164689.1	YP_164689.1 hypothetical protein LP65_gp054 [Lactobacillus virus LP65]	False	0.336	167.0	4.934e-43			REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0								2	3	False	F
virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2_10	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	10	6445	7686	1	C		aym:YM304_27060  recA; RecA protein	False	0.236	96.0	4.717e-18	YP_164688.1	YP_164688.1 recombinase A [Lactobacillus virus LP65]	True	0.566	433.0	3.844e-134	recA bacterial DNA recombination protein [PF00154.21]; Rad51 [PF08423.11]		sp|P04529|UVSX_BPT4	Xr;Xh	sp|P04529|UVSX_BPT4 Recombination and repair protein; XhXr	0								1	3	False	VF
virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2_11	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	11	7718	8002	1	E																		0								1	3	False	F
virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2_12	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	12	8069	8752	1	E							YP_009222342.1	YP_009222342.1 hypothetical protein LfeInf_104 [Lactobacillus phage LfeInf]	False	0.353	130.0	6.573e-33			sp|P06227|RP34_BPSP1	Xh	sp|P06227|RP34_BPSP1 RNA polymerase sigma GP34 factor; Xh	0								1	3	False	F
virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2_13	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	13	8833	9342	1	E							YP_164686.1	YP_164686.1 structural protein 2-D,MS [Lactobacillus virus LP65]	False	0.282	70.0	2.569e-13			REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0								2	3	False	F
virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2_14	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	14	9428	9739	1	E																		0								2	3	False	F
virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2_15	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	15	9744	10622	1	C		lcs:LCBD_1309  hypothetical protein	False	0.497	271.0	1.2110000000000002e-78	YP_003347508.1	YP_003347508.1 hypothetical protein [Enterococcus phage phiFL1A]	False	0.521	287.0	5.437e-86			REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0								1	4	False	F
virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2_16	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	virus__NC_048134_1__Lactobacillus_phage_Lpa804__complete_genome_36110_47244_5__full-cat_2	16	10770	11132	1	E																		0								2	5	False	F
virus__NC_048170_1__Escherichia_phage_vB_EcoM_Goslar__complete_genome_4520_14888_3__full-cat_1_1	virus__NC_048170_1__Escherichia_phage_vB_EcoM_Goslar__complete_genome_4520_14888_3__full-cat_1	virus__NC_048170_1__Escherichia_phage_vB_EcoM_Goslar__complete_genome_4520_14888_3__full-cat_1	1	2	307	-1	C	K00943	nse:NSE_0547  tmk; thymidylate kinase (EC:2.7.4.9); K00943 dTMP kinase [EC:2.7.4.9]	False	0.432	76.0	1.104e-14	YP_009217302.1	YP_009217302.1 thymidylate kinase [Pseudomonas phage PhiPA3]	False	0.397	71.0	1.626e-14	Thymidylate kinase [PF02223.17]					0								1	5	False	MF
